iso3,name,latitude,longitude,landlocked,region,subregion,gdp_per_capita,trade_share,urbanization,agriculture_share,population,dist_equator,tropical,dist_equator_sq,log_gdp,log_population,log_trade,agri_x_landlocked,trade_x_urban,region_encoded,high_income,cluster
BEL,Belgium,50.83333333,4.0,0,Europe,Western Europe,46716.6227467964,165.46547893199,87.0961631189222,0.718789583537128,11488980,50.83333333,0,2584.027777438889,10.75185532779159,16.256898873038445,5.114787954182085,0.0,14411.408343611187,3,1,1
FRA,France,46.0,2.0,0,Europe,Western Europe,40408.2848574751,66.4289771741449,78.6890784549356,1.40828485472535,67382061,46.0,0,2116.0,10.606790113654695,18.025889383186374,4.211074853925304,0.0,5227.234996537414,3,1,1
BGR,Bulgaria,43.0,25.0,0,Europe,Southeast Europe,10353.7204584127,125.260418346411,73.7162322998047,3.20205597512235,6616726,43.0,0,1849.0,9.245101198682539,15.705111243643566,4.838346586306484,0.0,9233.726096794751,3,0,1
CYP,Cyprus,35.0,33.0,0,Europe,Southern Europe,29227.173828125,150.506169561162,66.7677357070518,1.74820542874204,1286671,35.0,0,1225.0,10.282854166059058,14.06756882064288,5.020626347296244,0.0,10048.95615154039,3,1,1
KOR,South Korea,37.0,127.5,0,Asia,Eastern Asia,33826.9443301597,71.4470632403511,81.2901063535619,1.50689433955588,51764822,37.0,0,1369.0,10.429012933431592,17.76222136455961,4.282856132960324,0.0,5807.939369457804,2,1,1
MEX,Mexico,23.0,-102.0,0,Americas,North America,10369.5553585271,77.4619722571128,78.355984332992,3.31502440184845,125762982,23.0,1,529.0,9.246629422630924,18.64990959819611,4.362614077568621,0.0,6069.609084580991,1,0,1
MKD,North Macedonia,41.83333333,22.0,1,Europe,Southeast Europe,6718.85826635458,138.576231840539,60.6286848102132,8.13229139447626,1876262,41.83333333,0,1750.027777498889,8.81267351824232,14.444792057645532,4.9386109168106325,8.13229139447626,8401.69468244707,3,0,1
MAR,Morocco,32.0,-5.0,0,Africa,Northern Africa,3508.09765625,75.9981158798422,61.8430450233765,10.8424017370039,36210898,32.0,0,1024.0,8.162829191260244,17.40487068121338,4.343780952461352,0.0,4699.954902048866,0,0,1
PLW,Palau,7.5,134.5,0,Oceania,Micronesia,15846.7968470167,115.461972278731,79.2803814152827,3.38895622331658,17798,7.5,1,56.25,9.670722667211283,9.786841370416807,4.7575648015114185,0.0,9153.869201218591,4,1,1
GIN,Guinea,11.0,-10.0,0,Africa,Western Africa,1031.34146480732,78.4153132285974,36.1281547546387,26.4272768142306,13034346,11.0,1,121.0,6.938615626862378,16.383098431478853,4.3746912114787655,0.0,2833.000571456234,0,0,0
